sentence1,sentence2,label
بایدن : که چیرې روسیه د اوکراین د جګړې د ختمولو په اړه ګام اوچت کړي مونږ چمتو یو چې لیدنه ورسره وکړو,"د امریکا ولسمشر جوبایډن ویلي، که د روسیې ولسمشر ولادیمیر پوتین د اوکراین د جګړې د پای ته رسولو لاره غوره کړي، چمتو دی چې له هغه سره وویني او خبرې وکړې.",P
د کانګو په دیموکراتیک جمهوریت کې د یاغیانو په برید کې ۵۰ تنه ملکي وګړي وژل شوي,"د کانګو دیموکراتیک جمهوریت په ختیځ کې په شمالي کیو ایالت کې ، د یاغیانو په برید کې لږ تر لږه ۵۰ تنه ملکي وګړي وژل شوي.",P
ستولتنبرګ : پوتین ته به اجازه ورنکړو چې ناټو د اوکراین په جګړه کې ښکیله کړي,"د ناټو سازمان عمومي منشي ینس سټولټنبرګ وویل ، د روسیې ولسمشر ولادیمیر پوتین به اجازه ورنکړي چې ناټو د اوکراین په جګړه کې ښکېل کړي.",P
د روسیې د ولسمشرۍ ماڼۍ د کرملین ویاند دیمیتري پیسکوف ویلي چې ناټو په اوکراین کې جګړه اوږدوي.,روسیه : ناټو پر اوکراین جګړه تحمیلوي,P
"د امریکا، جرمني او کاناډا لخوا پر روسیې ډیرې سختې نیوکې",په سیاسي چارو کې د امریکا د بهرنیو چارو وزارت مرستیالې ویکتوریا نولاند ویلي چې روسیې په اوکراین کې ملکي وګړو بریدونه کوي.,P
زیلینسکي : په اوکراین کې د روسي ځواکونو پر خلاف به نوي اقدامات ترسره کړو,"د اوکراین ولسمشر ولادیمیر زیلینسکي اعلان وکړ چې د روسیې د پوځ پر وړاندې چې په اوکراین کې جګړې ته دوام ورکوي، نوي اقدامات کوي.",P
ناروې لومړی وزیر : تورکیه حق لري چې ترهګرو پر ضد عملیات وکړي,"د ناروې لومړي وزیر یوناس ګار استوره ویلي، چې تورکیه له ترهګرۍ سره د مبارزې حق لري. هغه دا څرګندونې د جرمني د لومړي وزیر سره په ګډه خبري غونډه وکړې.",P
امریکا د داعش ترهګرې ډلې د نوي مشر ابوالحسن الهاشمي القریشي د وژلو نه خبر ورکړ.,د داعش ترهګرې ډلې نوی مشر هم وژل شوی دی,P
په امریکا کې د وسله والو بریدونو له امله د مرګ ژوبلې کچه ډیره زیاته لوړه شوې,په امریکا کې د وسله والو بریدونو له امله د مرګ ژوبلې کچه په تیرو ۳۲ کلونو کې تر ټولو لوړې کچې ته رسیدلې ده.,P
پولنډ په پام کې لري د اوکرایني کډوالو نه د استوګنې او خواړو پیسې واخلي,"د پولنډ حکومت په پام کې لري چې له هغو اوکرایني کډوالو څخه چې تر څلورو میاشتو زیات په دغه هېواد کې د کډوالو د استوګنې په مرکزونو کې اوسېږي، د خوړو او سرپناه بدل واخلي.",P
د بلجیم په پلازمینه بروکسل کې د چړو په واسطه درې جلا جلا بریدونه رامنځته شوي دي.,په بلجیم کې په درې جلا جلا بریدونو کې ګنشمیر کسانو ته مرګ ژوبله اوښتې,P
د ناټو سازمان مشر : اجازه به ورنکړو چې روسیه ژمي نه د اوکراین پر خلاف د وسلې په توګه کار واخلي,"د ناټو سازمان عمومي منشي ینس سټولټنبرګ ویلي، د روسیې ولسمشر ولادیمیر پوتین هڅه کوي د ژمي موسم د اوکراین پر ضد د وسلې په توګه وکاروي.",P
د اوکراین ولسمشر ولادیمیر زیلینسکي د اوو هیوادونو د بهرنیو چارو وزیرانو سره لیدنه وکړه.,د اوکراین ولسمشر ۷ اروپايي هیوادونو د بهرنیو چارو وزیرانو سره ولیدل,P
روسیې په روانه جګړه کې اوکراین ته د اړولو زیانونو شمیره اعلان کړه,"د روسیې د دفاع وزارت ویاند ایګور کوناشینکوف ویلي، دوی تېره ورځ د اوکراین پر پوځي مدیریت او د انرژۍ پر سیسټمونو د اوږد واټن ویشتونکو وسلو په وسیله برید وکړ.",P
د سویډن لومړي وزیر الف کریسترسن وویل چې تورکیه د ترهګرۍ پر وړاندې د ځان نه د دفاع حق لري.,د سویډن لومړی وزیر : نړۍ باید پدې پوه شي چې تورکیه د ځان نه د دفاع حق لري,P
اروپايي ټولنه اوکراین ته ۱۸ میلیارده ایرو پور ورکوي,د اروپا پارلمان د اروپایی اتحادیې لخوا اوکراین ته چې د روسیې سره په جګړه کې ښکیل ده د ۲۰۲۳ کال لپاره د ۱۸ میلیارد یورو پور ورکول تصویب کړل.,P
د روسیې او اوکراین ترمنځ د جنګي اسیرانو تبادله وشوه.,روسیې او اوکراین په متقابله توګه د یو بل جنګي اسیران خوشې کړل,P
امریکا د اوکراین سره ۴۰۰ میلیونو ډالرو اضافي مرسته وکړه,د امریکا د بهرنیو چارو وزیر انتوني بلینکن اعلان وکړ چې دوی به اوکراین ته د امریکا له پوځ څخه ۴۰۰ میلیونه ډالره اضافي مهمات او تجهیزات ورکړي.,P
په اندونیزیا کې د زلزلې له امله د مړو شمیره ۲۷۱ تنو ته لوړه شوه,د اندونیزیا په لویدیځ جاوا ولایت کې د نوامبر په ۲۱ مه د ۵.۶ درجې په زلزله کې د وژل شویو کسانو شمېر ۲۷۱ ته لوړ شو.,P
روسیې د اروپا په پارلمان سایبري بریدونه کړي دي,"د اروپا پارلمان مشرې رابرټا میټسولا اعلان وکړ وروسته له هغې چې د اروپا پارلمان روسیه د ""ترهګرۍ ملاتړی هیواد"" اعلان کړ سایبري بریدونه پرې شوي دي.",P
روسیې د اوکراین پر پلازمینې کیف ۳۱ د کروز توغندیو بریدونه کړي,د اوکراین د ملي پولیسو مشر ایګور کلیمینکو ویلي چې د روسیې د پوځ له خوا د پرونیو توغندیزو بریدونو په پایله کې ۶ تنه وژل شوي او ۳۶ نور ټپیان شوي دي.,P
جاپان په دفاعي برخو کې یو بل مهم ګام اوچت کړ,"په داسې حال کې چې د شمالي کوریا پرله پسې توغندیو ازموینو د کوریا په ټاپو وزمه او شاوخوا کې امنیتي اندیښنې زیاتې کړې، د جاپان لخوا یو نوی دفاعي ګام پورته شو.",P
په اندونیزیا کې د زلزلې له امله د مړو شمیره ۱۶۲ تنو ته لوړه شوه,د اندونیزیا په لوېدیځ جاوا ایالت کې د تېرې ورځې د ریښتر په کچه د ۵.۶ درجې زلزلې له امله د مړو شمېر ۱۶۲ ته لوړه شوه,P
په چین کې په یوې فابریکه کې اورلګیدنې ستره فاجعه رامنځته کړه,"د چین په هینان ایالت کې په یوه فابریکه کې د اورلګېدنې له امله ۳۶ تنه مړه ، دوه تنه نور سخت ټپیان شوي او ۲ تنه هم لا درکه شوي دي.",P
لیبیا او یونان ترمنځه اړیکې لا پسې ترینګلې شوي دي,د لیبیا او یونان ترمنځه د وروستي ډیپلوماتیک بحران نه وروسته لیبیا په یونان کې خپل سفیر د سلامشورو په خاطر هیواد ته راوغوښته.,P
په امریکا متحده ایالتونو کې د همجنسبازانو په یو نایټ کلب وسله وال برید شوی.,د امریکا د کولوراډو ایالت د همجنسبارانو په یوه نایټ کلب په وسله وال برید کې لږ تر لږه ۵ تنو خپل ژوند له لاسه ورکړی او ۲۵ تنه نور ټپیان شوي دي.,P
ګوتریش د ولسمشر اردوغان نه مننه وکړه,د ملګرو ملتونو سرمنشي انتونیو ګوتریش د روسیې او اوکراین ترمنځ د غلې دانې د تړون له تمدید وروسته له ولسمشر رجب طیب اردوغان او تورکیې څخه مننه وکړه.,P
درې نور هیوادونه هم د شینګن د تړون سره یو ځای کیږي.,"بلغاریا، رومانیا او کروشیا هم د شینګن په سیمه کې داخلیږي",P
اوکراین ولسمشر د تورکیې له ولسمشر او ملګروملتونو سازمان سرمنشي څخه مننه وکړه,د اوکراین ولسمشر ولادیمیر زیلینسکي له ولسمشر رجب طیب اردوغان او د ملګرو ملتونو له سرمنشي انتونیو ګوتریش څخه د تورې بحیرې د غلو دهلیز د تړون د دوام په اړه د پرون ورځې د پریکړې له امله مننه وکړه.,P
درې نور هیوادونه هم د شینګن د تړون سره یو ځای کیږي.,"بلغاریا، رومانیا او کروشیا هم د شینګن په سیمه کې داخلیږي",P
د اوکراین نه غلو د لیږد د تړون موده د ۱۲۰ ورځو لپاره غځول کیږي,د تورکیې او ملګروملتونو سازمان په مشرۍ د اوکراین او روسیې ترمنځه د غلو دانې د لیږد تړون موده د ۱۲۰ نورو ورځو لپاره غځول کیږي.,P
امریکا د روسیې لخوا د اوکراین پر ملکي بڼسټونو د بریدونو په اړه ډیر سخت غبرګون وښود.,د امریکا د دفاع وزیر لوید آسټن او د امریکا د پوځ لوی درستیز مارک میلي د اوکراین د دفاعي تماس ډلې سره تر لیدنو وروسته په ګډه خبري غونډه کې ګډون وکړ,P
شمالي کوریا د جاپان د بحیرې (ختیځ سمندر) په لور یو بالستیک توغندی توغولی دی.,شمالي کوریا د جاپان سمندر په لورې د توغندي د توغولو سره د امریکا او سویلي کوریا پوځي همکارۍ ته ځواب ووایه,P
په اندونیزیا کې زوروره زلزله رامنځته شوې,د اندونیزیا د سوماترا په ټاپو کې زوروره زلزله رامنځته شوې,P
امریکا پر ایران نوي بندیزونه ولګول.,د امریکا د بهرنیو چارو وزیر انتوني بلینکن وویل د ایران لخوا د اوکراین په جګړه کې د کارولو په موخه روسیې ته د ورکړو کامیکازي انتحاري بې پیلوته الوتکو د تولید او کارګو شرکتونه د بندیزونو په لست کې شامل کړل.,P
د ناټو په غړي هیواد پولنډ کې دوه توغندي غورځیدلي دي.,اوکراین ته پولې ته نږدې د پولنډ د سوادوف په کلي کې د دوو توغندیو د لګیدو له امله دوو تنو ژوند د لاسه ورکړی دی.,P
د اوکراین ولسمشر د روسیې سره د مذاکراتو لپاره خپل شرطونه اعلان کړل,د اوکراین ولسمشر ولادیمیر زیلینسکي د جي شل سازمان د مشرانو په غونډه کې چې د اندونیزیا په بالي ټاپو کې جوړه شوې ده د ویډیو کنفرانس له لارې ګډون وکړ,P
اروپايي ټولنې پر ایران نوي بندیزونه ولګول,اروپايي ټولنې د مهسا امیني د وژل کېدو او له هغه وروسته د پيل شوو مظاهرو په دوران کې د مظاهره چیانو سره د ناوړه چلند له کبله پر ۲۹ ایراني وګړو او ۳ ادارو د نویو بندیزونو د لګولو پرېکړه وکړه.,P
ملګروملتونو سازمان هغه پریکړه لیک تصویب کړ چې له مخې روسیه باید اوکراین ته جنګي غرامت ورکړي,د ملګرو ملتونو په عمومي اسامبله کې د روسیې څخه اوکراین ته د تاوان ورکولو پریکړه لیک د ۱۴ مخالفو رایو په مقابل کې د ۹۴ موافقو رایو سره ومنل شو.,P
د ناټو مشر : که چیرې اوکراین د روسیې سره مذاکراتو شرایط ومني مونږ به ترینه ملاتړ وکړو,د ناټو سازمان سرمنشي ینس سټولټنبرګ د اوکراین او روسیې ترمنځه د احتمالي خبرو اترو پيلیدو په اړه د ناټو سازمان د دریځ په اړه معلومات ورکړل.,P
د امریکا متحده ایالتونو د ویرجینیا په ایالت کې په یو پوهنتون وسله وال برید شو یدی.,د ویرجینیا د پوهنتون به مرکزي ودانۍ وسله وال برید شوی,P
"د اوکراین ولسمشر : ""مونږ ټول اوس دا احساس کوو چې زمونږ بریا نږدې ده.""",د اوکراین ولسمشر ولادیمیر زیلینسکي وویل چې د روسیې پر ضد جګړه به دوام وکړي.,P
لاوروف : امریکا او ناټو غواړي د اسیا پاسیفیک سیمې کنټرول ترلاسه کړي.,د روسیې د بهرنیو چارو وزیر سرګي لاوروف ادعا کړې چې د امریکا او ناټو غواړي د اسیا پاسیفیک سیمې کنټرول ترلاسه کړي.,P
په امریکا کې په هوا کې د دوو الوتکو د جنګیدو له امله ۶ تنو ژوند د لاسه ورکړ,د امریکا په تکزاس ایالت کې د بوینګ B-17 او بیل P-63 ډوله الوتکو په هواد کې د جنګیدو له امله لږ تر لږه ۶ تنو ژوند د لاسه ورکړ.,P
په استرالیا کې هکرانو د بیمې تر ټولو د ستر شرکت د مشتریانو شخصي‌ معلومات غلا کړي,په استرالیا کې هکرانو د بیمې تر ټولو د ستر شرکت د مشتریانو شخصي‌ معلومات په انټرنیټ کې خپاره کړل,P
د اوکراین او روسیې د جګړې د حل په اړه د امریکا د ولسمشر څرګندونې,"د امریکا ولسمشر جوبایډن ویلي، تر کومه چې د روسیې ولسمشر ولادیمیر پوتین له اوکراینه نه وي وتلی، فکر نه کوم چې دا جګړه حل شي.",P
د صربستان ولسمشر: داسې شواهد شتون لري چې زما د وژنې پلان جوړ شوی وو,د صربستان : داسې شواهد او اسناد مو موندلي‌ دي‌ چې زما د وژنې پلان جوړ شوی وو,P
"روسیې د ""موجوده واقعیتونو سره سم"" له اوکراین سره د خبرو اترو لپاره چمتووالی اعلان کړ.",د روسیې د بهرنیو چارو وزارت ویاندې د اوکراین سره د مذاکراتو په اړه ارزونې وکړې,P
روسیه او امریکا په متقابله توګه د اتومي‌ وسلو د کمولو د تړون په چوکاټ کې غونډه کوي,"امریکا او روسیه به ډیر ژر د اټومي وسلو د کمولو په هدف د ""نوي سټارټ"" موافقتنامې په چوکاټ کې د متقابل تفتیش بیا پیلولو لپاره مشورتي غونډه وکړي.",P
زیلینسکي : روسي‌ ځواکونو نن زمونږ د هیواد پر ۵۰ میشت ځایونو بریدونه کړي‌ دي,د اوکراین ولسمشر ولادیمیر زیلینسکي اعلان وکړ چې روسي ځواکونو نن په اوکراین کې پر څه باندې ۵۰ میشت ځایونو بریدونه کړي دي.,P
په فرانسه کې د کلیسا ۱۱ راهبانو په جنسي‌ ځورونو تورن شول,"پداسې حال کې چې په فرانسه کې د کلیسا ۱۱ تنه راهبان د جنسي ځورونې په تور تورن شوي، د فرانسې کارډینل ژان پییر ریکارډ یوه ۱۴ کلنې نجلۍ په جنسي‌ پلوه په ځورنې اعتراف وکړ او له خپلې دندې استعفا وکړه.",P
د ناټو سازمان مشر ینس ستولتنبرګ کوسوو او صربستان ته خبرداری ورکړ.,د کوسوو او صربستان ترمنځه یو ځل بیا تاوتریخوالی ډیر شوی دی,P
د پولنډ ولسمشر اندرزیج دودا وویل چې هیواد یې اروپا ټولنې ته ډیر زیات ښه نیت ښودلی دی.,د پولنډ ولسمشر : ددینه وروسته به د اروپا د کمیسیون غوښتونو ته ځواب ورنکړو,P
امریکا د مکسیکو نه د ناقانونه کډوالو د مخنیوي په خاطر ددې هیواد سره په پوله کې د کانټینرونو نه دیوال جوړ کړ,امریکا متحده ایالتونو د مکسیکو سره په پوله کې د کانټینرونو نه دیوال جوړ کړ.,P
شمالي کوریا یو بل خطرناک ګام اوچت کړ,د جنوبي کوریا پوځ د شمالي کوریا لخوا د دواړو هیوادونو سمندري پولې ته څېرمه اوبو ته د ۸۰ توپونو د توغولو نه خبر ورکړی دی.,P
امریکا د پاکستان پر پخواني لومړي وزیر عمران خان او د هغه پر پلویانو برید وغنده.,امریکا په پاکستان کې پر ټولو سیاسي ګوندونو د اعتدال غږ وکړ,P
د روسېې او اوکراین ترمنځه د جنګي اسیرانو تبادله وشوه,"د روسیې او اوکراین ترمنځ په جګړه کې چې د فبرورۍ له ۲۴مې راهیسې روانه ده، د اسیر شوو پوځیانو تبادله وشوه",P
د ناټو سازمان مشر تورکیې ته راغلی دی,د ناټو سازمان عمومي منشي ینس ستولتنبرګ چې د رسمي سفر په ترڅ کې تورکیې ته راغلی وو د بهرنیو چارو وزیر چاووش اوغلو سره د لیدنې نه وروسته په ګډه خبري غونډه کې ګډون وکړ.,P
جاپان اعلان کړی چې شمالي کوریا یو ځل بیا درې توغندي وازمایل.,شمالي کوریا لخوا توغول شوي توغندي داځل جاپان په سمندر کې ولویدل,P
ملګروملتونو سازمان او امریکا د تورکیې نه مننه وکړه,د ملګروملتونو سازمان سرمنشي انتونیو ګوترش د غلې دانې تړون ته د روسیې د بیرته راستنولو په اړه د تورکیې له دېپلوماتیکو اقداماتو مننه وکړه .,P
د ایژې سمندر په سواحلو کې د کډوالو یوه بله ستره فاجعه رامنځته شوه.,په ایژې سمندر کې د ناقانونه کډوالو د کښتۍ د ډوبیدو له امله په لسګونو تنو ژوند د لاسه ورکړ,P
د ټویټر د کاروونکو لپاره بد زیری .,ټویټر په پیسو کیږي,P
سعودي عربستان داسې استخبارات ترلاسه کړي چې ایران پر سعودي او عراق د برید کولو هوډ لري,د ایران لخوا په نږدې راتلونکې کې پر سعودي عربستان او عراق د برید کولو د استخباراتو د ترلاسه کیدو له امله سعودي عربستان او امریکا د تدابیرو په نیولو پيل کړی دی.,P
جنوبي کوریا د شمالي کوریا د توغندیو د ازمایښتونو په غبرګون کې ختیځ سمندر ته ۳توغندي توغولي دي,جنوبي کوریا د شمالي کوریا د لږ تر لږه ۱۰ توغندیو د ازموینې په ځواب کې د جنګي الوتکو په مرسته ختیځ سمندر ته ۳ توغندي وتوغول.,P
زیلینسکي:د روسیې لخوا د غلې د لیږد تړون د ځنډولو سره سره د اوکراین د کرنیزو محصولاتو صادرات دوام لري,"د اوکراین ولسمشر ولادیمیر زیلینسکي ویلي، د روسیې له خوا د تورې بحیرې د غلو د دهلېز د تړون له ځنډولو سره سره، له اوکراین څخه د غلو صادرات د تورکیې او ملګرو ملتونو په ملاتړ دوام لري.",P
په امریکا کې د هالووین د جشن د لمانځنې پر محفل وسله وال برید شوی,د امریکا د کنساس په ایالت کې په یو کور چې د هالووین د جشن لمانځنه کوله وسله وال برید شوی دی.,P
شمالي کوریا د امریکا او سویلي کوریا په غبرګون کې په یو ورځ ۱۰ توغندي وازمایل,شمالي کوریا چې تیره ورځ سویلي کوریا او امریکا د هوايي تطبیقاتو د هر څه ژر درولو په خاطر خبرداری ورکړی وو نن ۱۰ توغندي وازمایل.,P
د صربستان ولسمشر پوځ ته د تیارسي امر وکړ,"د صربستان د دفاع وزیر میلوس ووسیویچ وویل چې ولسمشر الکساندر ووچیچ له کوسوو سره د احتمالي کړکیچ له امله اردو ته د ""تیارسي"" امر کړی.",P
د سویلي کوریا د کورنیو چارو وزیر د هالووین په شپه د لسګونو تنو د وژل کیدو له امله بښنه وغوښته,د سویلي کوریا د کورنیو چارو او امنیت وزیر لی سانګ مین په پلازمینه سیول کې د هالووین په مراسمو کې د خلکو په ډیره زیاته ګڼه ګوڼه کې په ټیل ما ټیل کې د څه باندې ۱۵۰ تنو د وژل کیدو له امله بښنه وغوښته.,P
د روسیې لخوا پر اوکراین برید ناروې هم د خپل پوځي طاقت لوړولو ته اړ کړ,"پداسې حال کې چې د روسیې او اوکراین ترمنځ د فبرورۍ په ۲۴ نیټه پیل شوې جګړه دوام لري، ناروې د خپلو پوځي طاقت د زیاتولو خبر ورکړی.",P
د امریکا د شیکاګو په ښار کې پر خلکو وسله وال برید شوی,د امریکا د شیکاګو په لویدیځه څنډه کې د هالووین په شپه په ډله ایزه ډزو کې د څو ماشومانو په ګډون لږ تر لږه ۱۴ کسان ټپیان شوي دي.,P
د اوکراین په پلازمینه کیف ګن شمیر بریدونه شوي,روسیې یو ځل بیا د اوکراین په پلازمینه کیف بریدونه کړي,P
په برازیل کې د ولسمشرۍ ټاکنو پایلې اعلان شوې,"په برازیل کې د ولسمشرۍ ټاکنې چې دویم پړاو ته غځیدلې وې ، ترسره شوې او د ټاکنو پایلې اعلان شوې.",P
روسیه : د تورکیې په مرسته چمتو یو چې بې وزلو هیوادونو ته په وړیا توګه غله دانه ورکړو,"د روسیې د کرنې وزیر دیمیتري پتروشیف ویلي، هېواد یې د تورکیې په مرسته چمتو دی چې تر ټولو بې وزله هېوادونو ته په څلورو میاشتو کې ۵۰۰ زره ټنه غلې دانې وړیا ورکړي.",P
د هند د ګجرات په ایالت کې د یو پل د نړېدو له امله ډیره ستره فاجعه رامنځته شوې ده,د هند د ګجرات په ایالت کې د یو ځوړند پل د نړېدو له امله په لسګونو تنو ژوند د لاسه ورکړی,P
د روسیې او اوکراین ترمنځ یو ځل بیا د جنګي اسیرانو تبادله وشوه.,د اوکراین او روسیې ترمنځه د جنګي اسیرانو په تبادله کې ۵۲ تنه اوکرایني او ۵۰ هم روسي وګړي خوشې شول,P
د ملګري ملتونه : د روان کال په دننه کې ۱۱۸ تنه فلسطینیان د اسرائیلي ځواکونو لخوا وژل شوي دي,په فلسطین کې د اشغال لاندې په لویدیځه تراړه کې سږ کال د اسرائیلي امنیتي ځواکونو لخوا ۱۱۸ فلسطینیان وژل شوي دي.,P
د امریکا متحده ایالتونو د استازو د مجلس د مشرې نانسي پلوسي په میړه په خپل کور کې برید شوی دی.,د امریکا د استازو مجلس د مشرې نانسي پلوسي پر کور برید شوی,P
پولنډ پر اوکراین د روسیې د بریدونو په غبرګون کې د شوروي اتحاد د دورې ۴ پوځي څلي ویجاړ کړل.,پولنډ د روسيې پر خلاف ډیر سخت غبرګون وښود,P
د روسیې ولسمشر ولادیمیر پوتین د اټومي وسلې د کارونې په اړه مهمې څرګندونې وکړې.,"پوتین : ""تر هغه چې اټومي وسلې شتون ولري، تل د هغې د کارولو خطر هم دوام لري.""",P
پوتین د اردوغان د سیاستونو او پیاوړې رهبرۍ ستاینه وکړه,د روسیې ولسمشر ولادیمیر پوتین د ولسمشر رجب طیب اردوغان د سیاستونو او پیاوړې مشرۍ ستاینه وکړه.,P
شمالي کوریا یو ځل بیا دوه بالستیک توغندي وازمایل.,شمالي کوریا د امریکا او سویلي کوریا د ګډو پوځي تطبیقاتو د پیل نه مخکې دوه بالستیک توغندي وازمایل,P
"جرمني ، فرانسې، ایټالیا او اسپانیا د فلسطین د اشغال لاندې په سیمو کې د جګړو د درولو غوښتنه وکړه","د جرمني، فرانسې، ایټالیا او اسپانیا د بهرنیو چارو وزارتونو د فلسطین د اشغال لاندې په سیمو کې د روانې جګړې د هر څه ژر د درولو غوښتنه وکړه.",P
ملګري ملتونه : د میانمار نه تښتیدلي وګړي باید بیرته په زور سره خپل هیواد ته وانستول شي,"ملګرو ملتونو ویلي، په میانمار کې د بشري ناورین له امله نورو هېوادونو ته پناه وړي د میانماري وګړي ، باید په زوره بېرته خپل هیواد ته وانستول شي.",P
امریکا پر سعودي عربستان ډیرې سختې نیوکې وکړې,امریکا : د سعودي عربستان سره به په اړیکو بیا کتنه وکړو,P
